at,userName,score,content
2026-04-27 12:18:53,EJ YOU,1,독점을 악용한 업체. 과거의 카카오로 돌아와주세요....
2026-04-27 12:32:55,hc l,1,친구 소식 안 보이게 설정 할 수 있도록 해주세요. 굳이 바뀐거 알고 싶지 안아요
2026-04-27 12:57:53,이주용,1,안드로이드 8에서 실행 안됨
2026-04-27 13:12:01,김영호,1,돌려두라고 원래대로
2026-04-27 13:14:22,동그라미,1,예전엔광고때문에 별로였는데 지금은 인스타 따라하는 삼류 짝퉁어플이 되어가는게 안쓰러움
2026-04-27 13:17:58,뱁새log,1,소식 궁금하지도 않고 분명 친구목록으로 고정시켰는데 들어가보면 수시로 소식이 먼저 뜸 진짜 불쾌함..
2026-04-27 13:43:43,김정원,1,알잖아
2026-04-27 13:43:51,기초가튼튼,1,"소식 강제 전횐은 또 뭐하는 짓인지. 이럴거면 sns를 따로 만들어라, 메신저에다 이러지 말고. 니네 쪼개기 잘하잖아."
2026-04-27 13:55:15,신혜주,1,아 제발 소식탭좀 안뜨게해주세요 남 사진 대문짝하게 보는 경험 너무 불쾌하고 역겨워요 자존심때문인지 뭔지 개 똥고집좀 그만부리세요 제발 걍 문자를 쓰던가해야지 개역겹네 진짜
2026-04-27 13:57:33,고태욱,1,아오 불편해
